Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Sanata Dharma,USD,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",422,051012,40,386,48751,106120
Universitas Sarjanawiyata Tamansiswa,UST,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",1868,051002,22,293,47862,97961
Institut Teknologi Adhi Tama Surabaya,ITATS,"KOTA SURABAYA - JAWA TIMUR, ID",2102,072002,16,153,47799,83429
Universitas Pembangunan Nasional Veteran Jakarta,UPNVJ,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",525,001061,34,535,47361,93560
Universitas Bunda Mulia,UBM,"KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID",1092,031048,17,201,47155,60036
Universitas Pembangunan Nasional Veteran Yogyakarta,UPNYK,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",526,001062,33,525,46672,105095
Universitas Katolik Parahyangan,UNPAR,"KOTA BANDUNG - JAWA BARAT, ID",1397,041006,32,369,46610,156887
Universitas PGRI Semarang,UPGRIS,"KOTA SEMARANG - JAWA TENGAH, ID",18,061038,28,353,46260,92670
Universitas Islam Sultan Agung,UNISSULA,"KOTA SEMARANG - JAWA TENGAH, ID",3,061002,40,479,46107,102258
Universitas Kristen Petra,UKPETRA,"KOTA SURABAYA - JAWA TIMUR, ID",408,071002,22,287,45865,154485
Universitas Islam Negeri Syarif Hidayatullah Jakarta,UINJAKARTA,"KOTA TANGERANG SELATAN - BANTEN, ID",400,201001,82,967,45723,135238
Universitas Surabaya,UBAYA,"KOTA SURABAYA - JAWA TIMUR, ID",403,071004,28,368,45683,145043
Universitas Djuanda,UNIDABOGOR,"KAB. BOGOR - JAWA BARAT, ID",1407,041019,20,228,43447,95385
Universitas PGRI Adi Buana Surabaya,UNIPASURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",2077,071049,33,297,43437,85524
Universitas Swadaya Gunung Jati,UGJ,"KOTA CIREBON - JAWA BARAT, ID",1399,041009,24,342,43375,62078
Universitas Pasundan,UNPAS,"KOTA BANDUNG - JAWA BARAT, ID",1398,041008,43,479,43241,95903
Universitas Pancasila,UP,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1057,031013,27,405,42815,101859
