Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Sekolah Tinggi Ilmu Ekonomi Ganesha,STIEGANESHA,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1163,033076,3,23,122,389
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",-,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",4130,233099,5,8,122,485
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kumala Lampung,-,"KOTA METRO - LAMPUNG, ID",960,023122,3,16,122,165
Akademi Kebidanan Menara Primadani,AKMPS,"KAB. SOPPENG - SULAWESI SELATAN, ID",2859,094126,1,10,122,275
Politeknik Raflesia,POLRAF,"KAB. REJANG LEBONG - BENGKULU, ID",1048,025007,4,36,122,175
Sekolah Tinggi Teologi Injili Indonesia Jakarta,STTIIJ,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",4067,233001,2,4,121,183
Sekolah Tinggi Ilmu Ekonomi Lampung Timur,-,"KAB. LAMPUNG TIMUR - LAMPUNG, ID",930,0,0,14,121,285
Sekolah Tinggi Teologi Syalom Bandar Lampung,-,"KAB. PRINGSEWU - LAMPUNG, ID",4195,233207,5,1,121,142
Akademi Penerbang Indonesia Banyuwangi,APIBANYUWANGI,"KAB. BANYUWANGI - JAWA TIMUR, ID",8244470,424009,0,24,121,675
STIKES Nauli Husada,-,"KOTA SIBOLGA - SUMATERA UTARA, ID",696,013168,4,15,121,189
Sekolah Tinggi Ilmu Hukum Bintuni,-,"KAB. MANOKWARI - PAPUA BARAT, ID",3478,143014,0,7,120,250
Sekolah Tinggi Ilmu Hukum Lubuk Sikaping,STIHLUBUKSIKAPING,"KAB. PASAMAN - SUMATERA BARAT, ID",2921,103006,1,10,120,503
Akademi Kebidanan Payung Pelalawan,-,"KAB. PELALAWAN - KEPULAUAN RIAU, ID",3114,104126,1,2,120,559
Bank Indonesia,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8161,15,0,0,120,120
Institut Teknologi dan Bisnis Pelita Raya,IPR,"KOTA JAMBI - JAMBI, ID",8244520,102007,3,11,120,238
STAI Syekh Manshur Pandeglang,STAISMAN,"KAB. PANDEGLANG - BANTEN, ID",3719,213146,3,11,119,197
Sekolah Tinggi Bahasa Asing Prayoga,STBAPRAYOGA,"KOTA PADANG - SUMATERA BARAT, ID",2928,103013,2,7,119,394
Sekolah Tinggi Ilmu Bisnis Kumala Nusa,STIBKUMALANUSA,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1957,053052,2,12,119,719
Akademi Komunitas Dharma Bhakti Bangka,AKDBBBANGKA,"KAB. BANGKA - KEPULAUAN BANGKA BELITUNG, ID",8474,026002,1,7,119,268
"STIT Muhammadiyah Bangil, Pasuruan",-,"KAB. PASURUAN - JAWA TIMUR, ID",3830,213263,1,7,119,204
STIKES Yayasan RS. Dr. Soetomo,STIKESYRSDS,"KOTA SURABAYA - JAWA TIMUR, ID",2263,073163,2,17,119,398
Universitas Sisingamangaraja XII Tapanuli Utara,UNITA,"KAB. TAPANULI UTARA - SUMATERA UTARA, ID",595,011018,8,47,118,327
Sekolah Tinggi Ilmu Kesehatan Jabal Ghafur,STIKESJG,"KAB. PIDIE - ACEH, ID",8244526,133054,4,10,118,223
Sekolah Tinggi Teologi Anugerah Misi,STTANUGERAHMISINIASBARAT,"KAB. NIAS BARAT - SUMATERA UTARA, ID",8244210,233366,2,4,118,216
Balai Besar Penelitian dan Pengembangan Vektor dan Reservoir Penyakit Salatiga,B2P2VRPSALATIGA,"- - -, ID",378,0,0,10,118,723
"STAI Nahdlatul Ulama (STAINU), Purworejo, Jawa Tengah",STAINUPURWOREJO,"KAB. PURWOREJO - JAWA TENGAH, ID",94,213391,3,9,118,341
Sekolah Tinggi Teknologi Mineral Indonesia,-,"KOTA BANDUNG - JAWA BARAT, ID",1485,043049,2,2,118,653
Sekolah Tinggi Teknologi Ilmu Komputer Insan Unggul,-,"KOTA CILEGON - BANTEN, ID",1602,043234,4,16,117,202
Universitas Kartini,-,"KOTA SURABAYA - JAWA TIMUR, ID",2048,071018,5,9,117,407
STIT Ahlussunnah Bukittinggi,-,"KOTA BUKITTINGGI - SUMATERA BARAT, ID",3864,213302,2,14,117,195
Akademi Kimia Analis Caraka Nusantara,-,"KOTA DEPOK - JAWA BARAT, ID",1282,034095,1,5,117,2216
Sekolah Tinggi Ilmu Ekonomi Sampit,STIESAMPIT,"KAB. KOTAWARINGIN TIMUR - KALIMANTAN TENGAH, ID",3171,113018,2,12,117,291
Institut Pertanian Intan,-,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1886,052002,3,19,117,1246
Badan Pengembangan Sumber Daya Manusia Provinsi Banten,BPSDMPROVINSIBANTEN,"- - -, ID",8116,0,0,3,116,1138
Akademi Sekretari Dan Manajemen Taruna Bakti,ASMTBAKADEMISEKRETARIDANMANAJEMENTARUNABAKTI,"KOTA BANDUNG - JAWA BARAT, ID",8357,044022,1,3,116,442
Akademi Bahasa Asing UMI Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2756,094001,1,1,116,156
Akademi Manajemen Informatika Dan Komputer Kosgoro,AMIKKOSGORO,"KOTA SOLOK - SUMATERA BARAT, ID",3074,104072,2,8,116,186
STIKES As Syifa,STIKESASSYIFA,"KAB. ASAHAN - SUMATERA UTARA, ID",8259,013198,4,15,116,198
Sekolah Tinggi Bahasa Asing IEC Jakarta,STIBAIEC,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1202,033137,1,4,116,231
"STAI Al-Gazali Bone, Sulawesi Selatan",-,"KAB. BONE - SULAWESI SELATAN, ID",3888,213330,4,1,116,184
Sekolah Tinggi Pembangunan Masyarakat Santa Ursula,-,"KAB. ENDE - NUSA TENGGARA TIMUR, ID",2427,153007,2,17,115,162
STISIPOL Dharma Wacana,-,"KOTA METRO - LAMPUNG, ID",877,023021,0,17,115,270
Institut Teknologi Kesehatan dan Sains Wiyata Husada Samarinda,ITKESWHS,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",3216,114104,9,30,114,297
Akademi Kebidanan Aifa Husada,-,"KAB. PAMEKASAN - JAWA TIMUR, ID",2317,074095,1,8,114,212
Akademi Kebidanan Respati,AKBIDRESPATI,"KAB. SUMEDANG - JAWA BARAT, ID",1821,044221,0,6,114,143
Akademi Akuntansi YPK Medan,AAYPKMEDAN,"KOTA MEDAN - SUMATERA UTARA, ID",715,014006,1,7,114,125
Politeknik Piksi Input Serang,POLTEKPIS,"KAB. SERANG - BANTEN, ID",1662,045010,6,9,113,133
STID Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat NTB,-,"KAB. LOMBOK BARAT - NUSA TENGGARA BARAT, ID",3813,213246,2,6,113,295
Sekolah Tinggi Ilmu Hukum Lamaddukelleng,-,"KAB. WAJO - SULAWESI SELATAN, ID",2663,093098,1,1,113,113
Sekolah Tinggi Ilmu Tarbiyah Al-Amin,STITAL-AMINKREOTANGERANG,"KOTA TANGERANG - BANTEN, ID",3606,213010,1,9,112,150
Akademi Kesehatan Gigi Ditkesad Jakarta,AKGDITKESAD,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",1374,034225,1,7,112,157
Badan Penelitian dan Pengembangan Kementerian Kesehatan,-,"- - -, ID",8103,0,0,3,112,780
Sekolah Tinggi Teologi Kristus Alfa Omega,STTKAO,"KOTA SEMARANG - JAWA TENGAH, ID",4158,233142,5,23,111,206
STIKES Muhammadiyah Lhokseumawe,STIKESMULSM,"KOTA LHOKSEUMAWE - ACEH, ID",3391,133031,4,25,111,197
Sekolah Tinggi Agama Islam Sabilul Muttaqin Mojokerto,STAISAM,"KAB. MOJOKERTO - JAWA TIMUR, ID",8410,213627,4,21,111,644
"STAI Al-Azhary Cianjur, Jawa Barat",-,"KAB. CIANJUR - JAWA BARAT, ID",3721,213148,2,1,111,1040
STIE Widya Dharma Pontianak,STIEWD,"- - -, ID",2199,0,0,1,111,178
Ikatan Dokter Anak Indonesia,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8172,0,0,0,110,110
Indonesian Combinatorial Society (InaCombS)  Graph Theory and Applications (GTA) Researc,-,"KAB. JEMBER - JAWA TIMUR, ID",8179,0,0,0,110,110
Akademi Manajemen Informatika Dan Komputer Dumai,-,"KOTA DUMAI - KEPULAUAN RIAU, ID",3054,104040,1,5,110,178
Institut Ilmu Al Qur'an An-Nur Yogyakarta,IIQANNUR,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",8238,212069,6,34,110,420
STKIP Asy-Syafi'iyah Internasional Medan,-,"KOTA MEDAN - SUMATERA UTARA, ID",8264,013199,2,11,109,170
Akademi Komunitas Presiden,-,"KAB. BEKASI - JAWA BARAT, ID",8244524,046003,2,3,109,145
Sekolah Tinggi Ilmu Administrasi Panglima Sudirman,-,"KOTA SURABAYA - JAWA TIMUR, ID",2177,073052,2,15,108,278
STIE Pengembangan Bisnis Dan Manajemen,STIEPENGEMBANGANBISNISDANMANAJEMEN,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1185,033115,3,3,108,160
STISIP Petta Baringeng Soppeng,-,"KAB. SOPPENG - SULAWESI SELATAN, ID",2628,093058,3,2,108,1477
Sekolah Tinggi Ilmu Kesehatan Karimun,-,"KOTA BATAM - KEPULAUAN RIAU, ID",3009,103109,2,5,108,226
STAI Bhakti Persada Majalaya Bandung,-,"KAB. BANDUNG - JAWA BARAT, ID",3616,213021,2,3,108,179
Badan Pengkajian dan Pengembangan Perdagangan (BPPP),BPPPKEMENDAG,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8117,10110,0,13,108,471
Institut Teknologi Sains dan Kesehatan Sugeng Hartono,ITSKSUGENGHARTONO,"KAB. SUKOHARJO - JAWA TENGAH, ID",8244518,062012,3,9,107,610
"STAI Muhammadiyah (STAIM) Blora, Jawa Tengah",-,"KAB. BLORA - JAWA TENGAH, ID",91,213388,3,17,107,165
Universitas Muhammadiyah Mamuju,UNIMAJU,"KAB. MAMUJU - SULAWESI BARAT, ID",2643,091071,6,47,107,259
Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar,-,"KOTA PEMATANGSIANTAR - SUMATERA UTARA, ID",810,014222,1,10,107,163
Universitas Surapati,UNISPA,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1076,031029,7,19,107,2111
"Badan Penelitian, Pengembangan dan Inovasi Kementerian Lingkungan Hidup dan Kehutanan Makassar",BLIKLHKMAKASSAR,"KOTA MAKASSAR - SULAWESI SELATAN, ID",4501,0,0,3,106,1306
Sekolah Tinggi Alkitab Penyebaran Injil (STAPIN) Majalengka,STTSTAPINMAJALENGKA,"KAB. MAJALENGKA - JAWA BARAT, ID",4150,233131,1,8,106,142
Disable -- STMIK IBBI,STMIKIBBI,"KOTA MEDAN - SUMATERA UTARA, ID",454,013115,0,0,105,569
Akademi Analis Kesehatan Delima Husada Gresik,-,"KAB. GRESIK - JAWA TIMUR, ID",2340,074121,1,6,105,562
Sekolah Tinggi Alkitab Jember,-,"KAB. JEMBER - JAWA TIMUR, ID",4080,233024,3,10,105,128
Politeknik Pelayaran Barombong,POLTEKPELBAROMBONG,"KOTA MAKASSAR - SULAWESI SELATAN, ID",8244506,424008,3,23,105,126
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal,-,"KAB. KENDAL - JAWA TENGAH, ID",289,063106,4,14,104,165
Sekolah Tinggi Theologia Gereja Protestan Indonesia Papua,STTGEREJAPROTESTANINDONESIADIPAPUA,"KAB. FAK FAK - PAPUA BARAT, ID",4111,233069,2,4,104,126
Politeknik Kesehatan Siteba,-,"KOTA PADANG - SUMATERA BARAT, ID",3130,105008,3,4,104,142
Politeknik Seruyan,POLTES,"KAB. SERUYAN - KALIMANTAN TENGAH, ID",8244416,115023,3,12,104,203
Akademi Teknik Deli Serdang,-,"KAB. DELI SERDANG - SUMATERA UTARA, ID",732,014052,4,16,104,293
STIP Graha Karya,-,"KAB. BATANGHARI - JAMBI, ID",2936,103021,2,11,104,180
Akademi Bahasa Asing Bina Insan Indonesia,AKADEMIBAHASAASINGBINAINSANINDONESIA,"KOTA PALEMBANG - SUMATERA SELATAN, ID",990,024050,1,1,103,178
Akademi Analis Kesehatan Manggala Yogyakarta,-,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1967,054061,1,4,103,490
STAI Pangeran Dharma Kusuma Segaran Indramayu,-,"- - -, ID",3700,0,0,9,103,158
Badan Penelitian dan Pengembangan Kementerian Komunikasi dan Informatika,-,"- - -, ID",8090,0,0,13,103,636
STAI Muhammadiyah Tulungagung,-,"KAB. TULUNGAGUNG - JAWA TIMUR, ID",3795,213228,3,15,103,244
Disable -- Sekolah Tinggi Ilmu Ekonomi Sebelas April,STIESEBELASAPRIL,"KAB. SUMEDANG - JAWA BARAT, ID",1500,043081,0,0,102,102
Disable -- Universitas Nusa Tenggara Barat,UNTB,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",2380,081017,0,0,102,1882
Disable -- Sekolah Tinggi Elektronika Dan Komputer,STEKOMSEMARANG,"KOTA SEMARANG - JAWA TENGAH, ID",2002,063049,0,0,102,2206
Sekolah Tinggi Ilmu Hukum Painan,-,"KAB. TANGERANG - BANTEN, ID",1685,043329,2,5,102,117
AMIK Rizky Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2766,094014,2,1,102,153
Sekolah Tinggi Ilmu Administrasi Pembangunan Palu,-,"KOTA PALU - SULAWESI TENGAH, ID",8244517,163028,2,6,102,149
Akademi Kebidanan Alifah Padang,-,"KOTA PADANG - SUMATERA BARAT, ID",3063,104052,0,0,102,306
STMIK Raharja,STMIKRAHARJA,"KOTA TANGERANG - BANTEN, ID",1558,043175,0,0,102,255
STIE Madani Balikpapan,-,"KOTA BALIKPAPAN - KALIMANTAN TIMUR, ID",3220,113076,3,16,102,304
Universitas Tridharma,-,"KOTA BALIKPAPAN - KALIMANTAN TIMUR, ID",3136,111005,11,12,102,255
Disable -- AMIK AKMI,AMIKAKMI,"KAB. OGAN KOMERING ULU - SUMATERA SELATAN, ID",992,024063,0,0,102,203
Universitas Deli Sumatera,UNDS,"KOTA MEDAN - SUMATERA UTARA, ID",8244487,011059,7,23,102,393
Disable -- Akademi Keperawatan Samawa,-,"KAB. SUMBAWA - NUSA TENGGARA BARAT, ID",2501,084024,0,0,102,102
STIKES IST Buton,-,"KOTA BAU BAU - SULAWESI TENGGARA, ID",2735,093176,4,20,102,300
STAI Sunan Pandanaran Yogyakarta,-,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",3762,213191,5,6,102,648
Universitas Muhammadiyah Banten,UMB,"KAB. SERANG - BANTEN, ID",1667,043309,0,11,101,277
Sekolah Tinggi Ilmu Ekonomi Dahani Dahanai Buntok,-,"KAB. BARITO SELATAN - KALIMANTAN TENGAH, ID",3191,113045,1,2,101,101
Akademi Kesejahteraan Sosial Ibu Kartini,AKSIBUKARTINI,"KOTA SEMARANG - JAWA TENGAH, ID",237,064010,3,10,100,138
Perhimpunan Dokter Spesialis Penyakit Dalam Indonesia,-,"KOTA SEMARANG - JAWA TENGAH, ID",8202,0,0,0,100,100
Lembaga Layanan Pendidikan Tinggi Wilayah IV,LLDIKTIIV,"KOTA BANDUNG - JAWA BARAT, ID",8127,0,0,0,100,100
Institute for Learning Innovation and Counseling,ILININSTITUTE,"KOTA MAKASSAR - SULAWESI SELATAN, ID",8244217,Makassar,0,0,100,100
Akademi Sekretaris Dan Manajemen Kencana Bandung,-,"KOTA BANDUNG - JAWA BARAT, ID",1715,044049,1,19,99,148
STIT Al-Muslihun Tlogo Kanaigoro Blitar,-,"KAB. BLITAR - JAWA TIMUR, ID",3820,213253,3,10,99,288
Akademi Kebidanan Lapatau Bone,-,"KAB. BONE - SULAWESI SELATAN, ID",2840,094107,1,5,99,279
STAI YAPATA Al-Jawami Bandung,-,"KAB. BANDUNG - JAWA BARAT, ID",3723,213150,6,5,98,322
Sekolah Tinggi Ilmu Administrasi Lancang Kuning,STIALANCANGKUNINGDUMAI,"KOTA DUMAI - RIAU, ID",2947,103037,2,18,98,166
Badan Penelitian dan Pengembangan Provinsi Kalimantan Barat,BALITBANGPROVKALBAR,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",8244371,00001242,0,7,98,150
Politeknik Palu,-,"KOTA PALU - SULAWESI TENGAH, ID",2885,165003,3,20,98,2212
Akademi Maritim Indonesia AIPI,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2757,094002,3,6,98,285
Sekolah Tinggi Agama Islam Mambaul Ulum Jambi,SEKOLAHTINGGIAGAMAISLAMMAMBAULULUMJAMBI,"KOTA JAMBI - JAMBI, ID",8244405,213709,7,10,98,214
Sekolah Tinggi Perkebunan Lampung,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",878,023022,2,5,97,2157
Sekolah Tinggi Ilmu Ekonomi Pontianak,STIEP,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",3162,113007,2,13,97,503
Sekolah Tinggi Farmasi YPIB Cirebon,STFYPIBCIREBON,"KOTA CIREBON - JAWA BARAT, ID",1580,043201,2,16,97,195
Sekolah Tinggi Teologi Baptis Jakarta,-,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",4133,233104,2,17,96,130
Universitas Kristen Papua,UKIP,"KOTA SORONG - PAPUA BARAT, ID",3457,141005,10,18,96,307
Sekolah Tinggi Pariwisata Riau,-,"KOTA PEKANBARU - KEPULAUAN RIAU, ID",2972,103066,2,4,96,6608
Sekolah Tinggi Ilmu Ekonomi Kasih Bangsa,STIEKASIHBANGSA,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",1189,033120,2,12,96,269
STAI Madiun Jawa Timur,STAIMADIUN,"KAB. MADIUN - JAWA TIMUR, ID",3788,213221,2,15,96,216
Sekolah Tinggi Ilmu Hukum Graha Kirana,-,"KOTA MEDAN - SUMATERA UTARA, ID",645,013069,1,11,95,329
Disable -- STMIK Atma Luhur,-,"KOTA PANGKAL PINANG - KEPULAUAN BANGKA BELITUNG, ID",957,023118,0,0,95,199
Sekolah Tinggi Ilmu Ekonomi Cendekia Karya Utama,STIECENDEKIAKARYAUTAMA,"KOTA SEMARANG - JAWA TENGAH, ID",313,063011,2,12,95,207
Sekolah Tinggi Ilmu Administrasi Bengkulu,-,"KOTA BENGKULU - BENGKULU, ID",865,023004,4,29,94,239
Sekolah Tinggi Ilmu Agama Buddha Smaratungga Boyolali,STABNSMARATUNGGABOYOLALI,"- - -, ID",37,0,0,1,94,97
"STAI Darussalam Martapura, Kalimantan Selatan",-,"UNKNOWN - UNKNOWN, ID",3938,213406,0,4,94,213
STAI Nahdlatul Ulama (STAINU) Madiun,-,"KAB. MADIUN - JAWA TIMUR, ID",3647,213062,4,17,94,251
Akademi Teknik Wacana Manunggal Semarang,-,"- - -, ID",151,0,0,1,94,94
Akademi Keperawatan Buntet Pesantren Cirebon,AKPERBPC,"KAB. CIREBON - JAWA BARAT, ID",1773,044160,1,9,93,105
Institut Agama Islam Qomarul Huda Bagu Lombok Tengah NTB,-,"KAB. LOMBOK TENGAH - NUSA TENGGARA BARAT, ID",3569,212009,6,33,93,175
Akademi Maritim Ganesha Yogyakarta,-,"- - -, ID",1952,054031,0,1,93,1334
Universitas Teknologi Sulawesi Utara,UTSU,"KOTA MANADO - SULAWESI UTARA, ID",2566,161016,10,18,93,175
Sekolah Tinggi Theologi Jaffray Jakarta,STTJJ,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",8244248,233005,5,13,93,376
Akademi Pariwisata Indonesia,AKPINDO,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1274,034062,3,24,93,380
Sekolah Tinggi Ilmu Syariah Abu Zairi Bondowoso,STISABUZAIRIBONDOWOSO,"KAB. BONDOWOSO - JAWA TIMUR, ID",8408,213619,2,19,93,141
Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,STSRDVISI,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",1920,053039,2,10,92,279
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Meranti,-,"KAB. KEPULAUAN MERANTI - KEPULAUAN RIAU, ID",3037,103144,2,2,92,222
STAI Al-Kamal Sarang Rembang,"STAIAL-KAMALSARANGREMBANG,JAWATENGAH","KAB. REMBANG - JAWA TENGAH, ID",269,213038,3,12,92,755
Akademi Kebidanan Manna,-,"KAB. BENGKULU SELATAN - BENGKULU, ID",1017,024111,1,6,92,160
STMIK Mercusuar,-,"KOTA BEKASI - JAWA BARAT, ID",1600,043232,5,5,92,152
Sekolah Tinggi Teknologi YBS Internasional,-,"KOTA TASIKMALAYA - JAWA BARAT, ID",1681,043325,3,19,91,955
Sekolah Tinggi Pariwisata  Soromandi Bima,STIPARSOROMANDIBIMA,"KAB. BIMA - NUSA TENGGARA BARAT, ID",8244431,083103,1,8,91,165
Akademi Keperawatan Bethesda Tomohon,-,"KOTA TOMOHON - SULAWESI UTARA, ID",2833,164015,1,2,91,124
"STAI Darunnajah Jakarta Yayasan Darunnajah, Jakarta Selatan",-,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",3987,213466,3,7,90,520
Sekolah Tinggi Agama Kristen Arastamar Grimenawa Jayapura,STAKAGJ,"KAB. JAYAPURA - P A P U A, ID",4277,233338,2,7,90,206
Sekolah Tinggi Ilmu Ekonomi Mulia Singkawang,STIEMULIASINGKAWANG,"KOTA SINGKAWANG - KALIMANTAN BARAT, ID",3210,113065,2,9,90,118
"Badan Pendidikan dan Pelatihan Keuangan, Kementerian Keuangan",-,"KAB. ADM. KEP. SERIBU - DKI JAKARTA, ID",8461,0,0,11,90,294
Lembaga Penelitian dan Pemberdayaan Masyarakat,LITPAM,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",8355,0001555,0,0,90,90
Sekolah Tinggi Pariwisata Tamalatea Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2691,093130,2,9,90,169
Akademi Keperawatan Sawerigading Pemda Luwu,-,"KOTA PALOPO - SULAWESI SELATAN, ID",2823,094086,1,6,89,490
Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang,STMIKKOMPUTAMAMAJENANG,"KAB. CILACAP - JAWA TENGAH, ID",8244214,063107,2,14,89,115
Sekolah Tinggi Agama Kristen Marturia Yogyakarta,SEKOLAHTINGGIAGAMAKRISTENMARTURIAYOGYAKARTA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",4090,233034,3,3,89,107
STIE IBMI Medan,-,"KOTA MEDAN - SUMATERA UTARA, ID",667,013099,2,20,88,267
Universitas Soerjo,UNSOER,"KAB. NGAWI - JAWA TIMUR, ID",2073,071045,6,28,88,498
Sekolah Tinggi Ekonomi Islam Ar Risalah Ciamis,STIEARRISALAH,"KAB. CIAMIS - JAWA BARAT, ID",8244478,213573,2,1,88,152
Politeknik 'Aisyiyah Sumatera Barat,-,"KOTA PADANG - SUMATERA BARAT, ID",3093,105012,3,6,87,1540
STIT Sirojul Falah Bogor,-,"KAB. BOGOR - JAWA BARAT, ID",3726,213153,1,2,87,261
Sekolah Tinggi Bahasa Asing Persada Bunda,-,"KOTA PEKANBARU - KEPULAUAN RIAU, ID",2977,103072,1,6,87,260
Sekolah Tinggi Bahasa Harapan Bersama,-,"KOTA PONTIANAK - KALIMANTAN BARAT, ID",3234,113090,2,11,87,89
STIA & Pemerintahan Annisa Dwi Salfarizi,-,"KOTA PALEMBANG - SUMATERA SELATAN, ID",935,023095,2,13,87,145
Sekolah Tinggi Ilmu Ekonomi Kalpataru,-,"KAB. BOGOR - JAWA BARAT, ID",1559,043176,2,6,87,307
Akademi Keperawatan Rumkit Tingkat III Manado,-,"KOTA MANADO - SULAWESI UTARA, ID",2871,164022,1,7,87,150
Sekolah Tinggi Theologia Abdiel,STTABDIELUNGARAN,"KAB. SEMARANG - JAWA TENGAH, ID",106,233020,5,3,87,160
Sekolah Tinggi Teologi Pantekosta Jakarta,-,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",4138,233110,2,1,87,87
Sekolah Tinggi Ilmu Syariah Darul Falah Pagutan Mataram NTB,STISDARULFALAHPAGUTANMATARAMNTB,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",8325,213555,2,16,86,218
STT INJILI SETIA SIAU,-,"- - SULAWESI UTARA, ID",4215,233240,2,6,86,89
"STAI Yogyakarta Wonosari, Gunung Kidul",STAIYO,"KAB. GUNUNGKIDUL - DAERAH ISTIMEWA YOGYAKARTA, ID",3763,213192,5,21,86,413
Polteknik Bintan Cakrawala,PBC,"KAB. BINTAN - KEPULAUAN RIAU, ID",8244347,105011,3,12,86,284
STIKES Hamzar Memben Lombok Timur,-,"KAB. LOMBOK TIMUR - NUSA TENGGARA BARAT, ID",2464,083067,5,28,86,211
Sekolah Tinggi Ilmu Administrasi Malang,-,"KOTA MALANG - JAWA TIMUR, ID",2150,073023,4,17,86,165
Sekolah Tinggi Ilmu Kesehatan Keluarga Bunda Jambi,STIKESKELUARGABUNDAJAMBI,"KOTA JAMBI - JAMBI, ID",3102,103157,6,15,85,102
Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri,-,"KOTA SURAKARTA - JAWA TENGAH, ID",368,063018,1,9,85,1038
Politeknik Batulicin,POLIBALI,"KAB. TANAH BUMBU - KALIMANTAN SELATAN, ID",3307,115017,4,13,85,252
Sekolah Tinggi Teknik Poliprofesi,-,"KOTA MEDAN - SUMATERA UTARA, ID",676,013113,0,1,85,111
Sekolah Tinggi Teologi Mawar Saron Lampung,STTMSL,"KAB. TULANG BAWANG - LAMPUNG, ID",4285,233356,1,6,85,94
Universitas Jakarta,-,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1055,031005,6,19,85,214
Sekolah Tinggi Teologi Satyabhakti,STTSATI,"KAB. MALANG - JAWA TIMUR, ID",4162,233161,3,8,85,201
Sekolah Tinggi Ilmu Administrasi Lppn,-,"KOTA PADANG - SUMATERA BARAT, ID",2929,103014,2,24,84,121
Sekolah Tinggi Teologi Cipanas,STTC,"KAB. CIANJUR - JAWA BARAT, ID",4077,233012,3,15,84,536
"STAI DDI Pinrang, Sulawesi Selatan",-,"KAB. PINRANG - SULAWESI SELATAN, ID",3898,213344,3,1,84,110
STAIN Sultan Qaimuddin Kendari,-,"KOTA KENDARI - SULAWESI TENGGARA, ID",3532,203013,0,1,83,110
Akademi Komunitas Semen Indonesia Rembang,AKSIREMBANG,"KAB. REMBANG - JAWA TENGAH, ID",8244357,066002,3,4,83,141
Sekolah Tinggi Teologi Khatulistiwa Sintang,STTK,"KAB. SINTANG - KALIMANTAN BARAT, ID",8244252,233220,2,9,83,87
STKIP PGRI Metro,-,"KAB. LAMPUNG TIMUR - LAMPUNG, ID",472,023008,4,18,83,464
Akademi Kebidanan Sempena Negeri Pekanbaru,AKBIDSN,"KOTA PEKANBARU - RIAU, ID",3087,104090,1,8,82,353
Sekolah Tinggi Ilmu Kesehatan YPAK Padang,-,"KOTA PADANG - SUMATERA BARAT, ID",2994,103089,3,12,82,738
Politeknik Karya Persada Muna,PKPM,"KAB. MUNA - SULAWESI TENGGARA, ID",8244305,095015,3,16,82,279
Akademi Kebidanan Kudus,-,"KAB. KUDUS - JAWA TENGAH, ID",341,064165,0,2,81,81
Sekolah Tinggi Ilmu Ekonomi Ykp,-,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",1901,053015,3,12,81,155
