Affiliations,Level,Department,Authors,Code ,Score 3 Yr,Score Overall
Universitas Gadjah Mada,D4,Bahasa Inggris,8,79302,233,263
Universitas Gadjah Mada,S2,Magister Ilmu Hukum (Kampus Jakarta),3,74171,231,721
Universitas Gadjah Mada,D4,Manajemen dan Penilaian Properti,5,61313,229,456
Universitas Gadjah Mada,D3,Bahasa Jepang,6,79404,228,319
Universitas Gadjah Mada,Pro,Pendidikan Profesi Arsitek,5,23901,214,344
Universitas Gadjah Mada,D4,Teknologi Survei dan Pemetaan Dasar,6,35303,210,453
Universitas Gadjah Mada,D3,Teknologi Listrik,7,20403,210,646
Universitas Gadjah Mada,S2,Magister Linguistik,5,79102,204,434
Universitas Gadjah Mada,S1,Sastra Arab,9,79203,186,341
Universitas Gadjah Mada,D3,Kearsipan,6,71402,183,323
Universitas Gadjah Mada,S2,Magister Ilmu Hukum,4,74101,175,801
Universitas Gadjah Mada,D3,Teknik Sipil,10,22401,173,476
Universitas Gadjah Mada,D4,Akuntansi Sektor Publik,6,62303,172,243
Universitas Gadjah Mada,S1,Sejarah,8,80201,169,499
Universitas Gadjah Mada,D4,Teknik Pengelolaan dan Perawatan Alat Berat,8,21313,162,475
Universitas Gadjah Mada,D3,Pariwisata,8,93403,160,300
Universitas Gadjah Mada,S1,Sosiologi,12,69201,160,585
Universitas Gadjah Mada,S3,Doktor Pengkajian Seni Pertunjukan dan Seni Rupa,1,91001,155,756
Universitas Gadjah Mada,Pro,Profesi Akuntan,6,62901,145,575
Universitas Gadjah Mada,S1,Sastra Jawa,12,79211,141,361
Universitas Gadjah Mada,S1,Higiene Gigi,9,14202,141,430
Universitas Gadjah Mada,S3,Doktor Kajian Budaya dan Media,3,95027,113,339
Universitas Gadjah Mada,D3,Metrologi dan Instrumentasi,5,20404,109,730
Universitas Gadjah Mada,S1,Bahasa dan Kebudayaan Korea,7,79210,103,147
Universitas Gadjah Mada,D4,Pengelolaan Arsip dan Rekaman Informasi,6,71302,101,181
Universitas Gadjah Mada,D4,Pembangunan Ekonomi Kewilayahan,6,60301,92,171
Universitas Gadjah Mada,Sp1,Ilmu Kedokteran Forensik dan Medikolegal,5,11710,92,946
